asset,2025-12-01,2025-12-02,2025-12-03,2025-12-04,2025-12-05,2025-12-08,2025-12-09,2025-12-10,2025-12-11,2025-12-12,2025-12-15,2025-12-16,2025-12-17,2025-12-18,2025-12-19,2025-12-22,2025-12-23,2025-12-24,2025-12-25,2025-12-26,2025-12-29,2025-12-30,2025-12-31,2026-01-01,2026-01-02,2026-01-05,2026-01-06,2026-01-07,2026-01-08,2026-01-09,2026-01-12,2026-01-13,2026-01-14,2026-01-15,2026-01-16,2026-01-19,2026-01-20,2026-01-21,2026-01-22,2026-01-23,2026-01-26,2026-01-27,2026-01-28,2026-01-29,2026-01-30,2026-02-02,2026-02-03,2026-02-04,2026-02-05,2026-02-06,2026-02-09,2026-02-10,2026-02-11,2026-02-12,2026-02-13,2026-02-16,2026-02-17,2026-02-18,2026-02-19,2026-02-20,2026-02-23,2026-02-24,2026-02-25,2026-02-26,2026-02-27
2.krs Desk 7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
desk 115,51.17,0,0,61.17,0,0.67,59.01,0.67,0,75.95,0,69.5,0,0,0,0,0,0,0,0,77.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.34,0,37.5,0,0,55.34,48,0,0
desk 104,67.5,76.51,80.84,0,74.34,13.17,78.77,72.34,26.17,0,79.51,77.5,57.34,68.67,0,0,0,0,0,0,79.01,82,0,0,0,0,0,55.83,0,0,80.67,54.67,65.84,0,0,82.01,79.67,79.67,0,0,0,83,75.34,76.34,0,0,74.17,78.67,1,0,82,73,61.5,0,0,0,44.34,81.67,85.26,0,0,0,67,83.17,0
Desk 48,0,15.33,86.98,83.17,31.5,13.5,80.5,34.67,79.17,44.67,0,0,17,57.51,0.33,81.17,58.5,0,0,0,0,0,64.5,0,0,43.33,0,0,0,0,84.5,30,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0.5,78.17,0,82.33,0,11,77.5,0,0,84.17,0,58.34,0,0,0,0,0,0
DEsk 35,0,0,0,0,0,0,0,86.22,22,0,40.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.83,0,0,3.83,0,0,0,0,0,0,78.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.83,0,0,0,0
Desk 63,0,0,0,0,0,0,0,0,81.83,0,0,0,0,38.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.67,0,0,0,0,0,0,0,0,0,54.33,0,0,77.33,0,0,0,0,0,0,0,0,0,14.33,0,34.83,0,0,0,0,0,0
desk 109,79.84,29.67,80,89.88,0,45.5,0,76.34,81.5,0,80,68.67,68.17,15,0,73.28,0,0,0,0,1.33,73.5,0,0,0,73,0,55.84,76.67,0,43.5,0,60.84,85.17,6.5,39.5,0,89.84,47.84,0,0,9.67,64.34,82.84,0,0,84.5,66.33,66.83,0,66.5,64.34,0,2,0,24.17,44.17,77.67,0,3.67,0,65,63.34,0,61.17
desk 101,64.51,91.42,93.91,87.57,84.89,62.67,4,78.67,69.5,0,40.67,78.79,75.78,72.93,70.34,0,0,0,0,0,0,0,0,0,0,0,0,78.34,0,0.33,10.67,40.69,76.52,76.34,74.51,0,82.01,82.51,78.45,0,0,82.84,79.17,77.17,0,93.5,96.17,80.5,0,0,0,51.94,57.67,72.17,0,77.84,40.34,50.5,0,24.67,0,0,0,73.34,0
Desk 45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
desk 110,0,0,0,78,72.5,0.5,5.83,0,0,0,0,1.17,87.84,83.34,0,31.5,0,0,0,0,22.33,85.56,0,0,0,0,0,89,9.5,87.17,0,82.51,0,81.84,73.84,0,83,0,81.17,77.67,0,79.67,0,83.67,74.5,0,18.67,89.64,0,0,0,66.17,74,76.5,0,0,67.5,76.5,0,78.17,0,71.67,63.34,0,74.84
2.krs Round Desk 1,19,5.17,0.5,27,0,0,26.83,0.5,25.34,19.75,0,8.33,31.83,9.5,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.krs Round Desk 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
desk 153,0,75.67,0,78.01,0,28.17,70.84,9.83,3,36.67,80.34,53.69,75.67,13.67,78.84,83.67,0,0,0,0,0,0,0,0,60.67,0,0,0,52.84,61.84,82,86.67,92.93,0,58.67,78.84,84.84,83.84,65.51,67.84,72.67,81.34,88.47,76.34,70.84,79,89.83,17.16,15,81.33,0,0,0,0,0,81.34,0,0.33,79,82.67,0,93.67,0,84.84,76.67
desk 143,83.34,0,72.84,0,0,85.34,86.17,26.83,0,0,0,82.34,86.34,69.67,0,0,0,0,0,0,0,0,0,0,0,0,0,86.34,90.34,84.34,68.37,61.67,0,0,0,0,86.5,80.5,34.34,0,78.17,55.67,85.34,0,0,24.5,0,0,68.5,0,80.17,87.84,83.84,0,0,92.24,40.84,0,0,0,0,0,0,0,0
desk 123,0,51,80.5,29,0,0,0,86.01,90.45,0,88.09,48.67,58.83,63.67,77.17,0,0,0,0,0,0,0,0,0,0,0,0,56.17,76.84,69.5,76.67,73.87,0,0,89.4,18,66.84,57.34,36.34,87.5,44.84,52,54.34,89.01,0,0,0,18.66,0,0,0,0,0,0,0,0,0,0,0,0,0,20.99,85.5,89.31,88.04
desk 151,0,82.84,92.57,95.23,80.84,89.87,90.67,78.84,65,19.17,76.84,81.34,83,86.84,76.18,78.17,82.01,0,0,0,74.84,75.34,54.34,0,0,72.67,0,75.84,73.84,68.17,5,1.33,0,2.83,76.67,1.83,3,2.33,1.83,72.84,68.67,87.5,70.17,75.84,69,71.5,71.17,69.17,75.83,77.67,75.84,80.5,59.34,54.67,81.17,75.34,79.01,63.5,83.67,71,68.34,83.51,80.84,73.67,72.34
desk 142,65.83,76.33,0,74.33,0,71.67,80.16,16,8.83,18,76.17,69.83,0,0,46.67,0,0,0,0,0,0,0,0,0,0,74.5,0,77.33,67.5,0,0,75,81.8,76.33,81.14,76.33,76.17,0,0,82.17,73,52.83,84.69,77.83,0,55.67,80,82.72,79.33,77.16,42.83,75.5,84.08,78.17,52.66,33.5,75.33,78,75.16,80.16,80.3,0,78.83,83.98,89.81
desk 122,0,71.33,75.67,28.09,0,0,31.28,0,55.45,0,0,77.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,86.33,0,66.57,0,88.17,0,0,40.83,0,0,0,0,72.33,0,0,93.8,0,0,32.83,75.83,0,0,0,79.49,77.66,35.17,0,0,71.33,0,91.5,54,0,0,79.73,48.07,81.5
DEsk 88,0,53.5,81.67,35,0,0,14.84,34.5,0,0,0,6.5,75.84,59.17,0,0,0,0,0,0,0,0,0,0,0,0,0,63.8,40.5,0,0,0,0,0,0,17.52,0,70.34,29.49,0,0,0,58.5,17,0,0,6,0,23.67,0,0,0,0,0.5,0,40.17,0,76.84,33.84,0,0,5.67,0,80.17,0
desk 150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
desk 135,78.84,80.32,77.67,0,0.5,0.33,81,79.5,73.34,85.5,79.17,0,79.17,80.67,0,0,0.33,0,0,0,0.5,0,80.51,0,0,0.5,0,81.69,80.5,85.37,83.84,82.51,80.5,78.67,84.01,60.5,0,82.17,62,0,0.33,92.17,80.84,84.01,82.67,80.51,97.5,78.34,16.83,0,80.34,77.34,79.34,71,74.17,80.67,83.77,78.84,44.5,81.01,79.17,77.17,0,0,0
desk 121,0,73.83,84.33,92,0,80,78.17,67.17,0,0,77.5,0,73.5,78.33,75.33,0,0,0,0,0,0,0,0,0,0,0,0,78.33,73,0,76,78.67,57,79,0,78,55.83,82.33,79,0,72,79.83,0,82.67,0,0,1,0,0,0,78.33,77.83,0,0,0,78.17,86.67,79.67,0,0.83,78.5,80.17,44.83,0,77.17
Desk 8,0,0,38,0,0,0,54,0,0,0,0,56.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,30.5,0,0,0,38.34,0,0,0,0,0,0,0,0,0,0,30.67,0,0,0,51.67,38,48.67,0,0,0,0,0,0,0,0,0,0,0
