asset,2025-12-01,2025-12-02,2025-12-03,2025-12-04,2025-12-05,2025-12-08,2025-12-09,2025-12-10,2025-12-11,2025-12-12,2025-12-15,2025-12-16,2025-12-17,2025-12-18,2025-12-19,2025-12-22,2025-12-23,2025-12-24,2025-12-25,2025-12-26,2025-12-29,2025-12-30,2025-12-31,2026-01-01,2026-01-02,2026-01-05,2026-01-06,2026-01-07,2026-01-08,2026-01-09,2026-01-12,2026-01-13,2026-01-14,2026-01-15,2026-01-16,2026-01-19,2026-01-20,2026-01-21,2026-01-22,2026-01-23,2026-01-26,2026-01-27,2026-01-28,2026-01-29,2026-01-30,2026-02-02,2026-02-03,2026-02-04,2026-02-05,2026-02-06,2026-02-09,2026-02-10,2026-02-11,2026-02-12,2026-02-13,2026-02-16,2026-02-17,2026-02-18,2026-02-19,2026-02-20,2026-02-23,2026-02-24,2026-02-25,2026-02-26,2026-02-27
desk 82,0,50.84,57.67,74.17,44.34,0,23.33,50.34,54.17,0,66.84,11,71.34,39,0,0,0,0,0,0,82,0,0,0,0,0,0,43.5,49,0,75.67,0,0,45.83,0,0,75.67,21.67,75,0,0,43.5,47.5,36.34,0,75.17,0,12.5,46,43,0,52.84,31.67,0,0,0,71.84,53,73.67,0,0,0,1.5,0,0
Desk 94,0,56,56.17,43.51,0,74.67,81.84,36,0,0,29.5,0,0,54.51,18.5,8.67,0,0,0,0,0,0,0,0,0,0,0,76.67,81.34,0,82.59,87.59,83.01,83,0,79.17,50.67,54.84,33.34,0,0,18.83,54.64,72.14,18.67,53.34,4,25,75.84,54.17,81.33,0.33,57.66,0,80.17,60.67,27.83,61.34,73.5,0,50.17,21.5,70.84,72.67,0
desk 144,87.67,87.83,52.67,87.67,82.67,52.17,87.83,23,84.33,43.17,77.67,88,88.33,86.5,89.17,0,0,0,0,0,0,0,0,0,0,0,0,88.67,55.83,0,89.33,62.83,89.67,86,74.17,60.5,89,89.67,61,88,80.83,60.17,89.17,89,80.33,84.33,0,0,89.66,64.33,88,90,88.33,87.83,87.17,87.33,88.83,78.17,90,84,88.67,87.17,71.67,70.33,46.83
desk 134,0,0,0,0,0,0,0,1.83,0,0,0,0,0,0,0,87.17,79.34,0,0,0,70.67,81.34,0,0,0,91.84,0,0,0,0,0,51.91,0,0,76.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.01,0,0,81.5,8.17,0,0,0,0,19.39,11.67,0,0
desk 124,83.17,81.97,31,0,0,0,0,80.84,79.67,90.88,79.17,66.84,83.33,0,40.5,78.67,66.5,0,0,0,0,0,0,0,0,80.84,0,80.17,94.34,0,0,0,0,85.24,0,78.5,74.34,80.34,71.01,82.67,83.64,79.63,76.5,85.61,71.84,85.25,70.4,78.73,65.34,63.17,84.68,86.01,80.83,58.16,65.84,87.12,76.67,9.33,90.59,59.09,85.89,87.05,80.21,68.34,79.67
Desk 7,0,48,0,0,0,0,56.17,41.84,0,0,0,64,57.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.5,0,77.5,0,0,59,0,58.67,0,0,39.67,0,0,0,0,73,0,0,0,61,71.66,0,73.17,0,0,67.34,63.17,0,0,0,57.5,73.17,0,0
Desk 55,0,52,0,47.84,0,1.17,0.33,17,73.51,31,0,0,56.96,94.17,17.34,0.33,0,0,0,0,0,0,0,0,0,0,0,0.67,0.33,14,62.84,8.67,40.84,0,0,0,0.5,45.5,0,0,24.17,0,0,8.17,0,0,0,0,32,0,3.17,0,0,0,0,0,0,67,7.33,0,0,64.8,0,0,0
DEsk 5,0,94.08,92.75,92.83,0,0,63.33,90.67,89.34,0,0,92.17,96.83,91.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.84,92.84,0,90.83,92.5,91.17,0,0,90.33,80.66,93.33,0,0,39,91.84,93.67,0,0,87.33,63.49,92.83,0,0,85.83,84.5,81,0,0,95.83,0,85.33,0,0,97.98,0,0,0
desk 83,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0,0,0,0,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0.33,0,0,0,0,0,0
Desk 95,0,79.84,60.67,0,0,46.84,50.34,51.95,46,0,83.17,57,33.17,27.17,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,23,0,51.67,56.5,24,16.83,0,65.17,50.83,51,6.5,0,5.83,0,25.84,33.84,0,0,35.84,30.83,23.5,45,0,82.17,76.01,0,0,0,52,0.33,67.67,0,22.67,0,85.67,46.84,0
desk 145,59.83,84.52,0,55.5,0,79.17,0,0,37.5,0,0,1,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.84,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.17,0,0,0.5,0,0,0,0,0,0
desk 139,0,0,0,80.33,0,0,75.83,0,0,0,81.17,0,30.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.67,0,0,0,0,0,0,0,81.83,0,27.17,0,0,0,0.67,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,9.33,0,35.83
desk 125,84.27,91.09,95.25,89.74,80.57,85.04,73.17,89.02,78.18,77.34,77.5,0,0,0,4.93,0,0,0,0,0,0,0,0,0,62.48,63.67,0,67.61,80.26,65.67,64.39,88.34,77.54,97.7,81.67,84.34,43.67,0,76.67,0,82.34,73.34,0.33,93.41,78.17,43.17,0,0,16.35,73.83,59,72.17,68.34,76.01,75.84,88.25,89.84,0,4.33,58.84,0,0,31.67,63.84,83.84
Desk 74,0,0,0,0,0,0,0,50.67,0,0,0,31.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,23.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DEsk 6,0,80.64,64.34,0,0,0,0,0,69.58,0,0,78.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.43,0,0,0,83.4,76.56,0,0,0,77.36,75.34,0,0,0,29.48,0,0,0,0,0,76.61,0,0,0,0,79.07,81.23,0,0,0,75,0,0,0,0,0,0,0
Desk 76,0,7.17,69.67,0,0,0,49.5,53.67,0,0,41.17,73.84,38.84,51.5,0,0,0,0,0,0,0,0,0,0,0,0,0,11.17,57,0,0,38,70.88,75,0,0,64.34,29.67,57.5,12.83,0,0,40.38,74.34,0,0,45.34,0,73.33,0,0,75.67,25.67,22.83,0,0,0,18.83,35,0,0,0.83,7.33,77.34,0
Desk 10,0,92,0,49.65,0,0,79.34,80.34,86.1,0,0,90.74,64.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.75,79.24,1.5,0,36.5,79.17,0,0,0,80.82,79.67,70.51,0,0,85.94,79.43,77.34,0,0,67.72,66.34,56.33,0,0,0,73.67,0,0,0,34.95,89.5,81.84,0,0,86.07,79.51,86,0
desk 84,47.5,39,41.17,0,0,0,66.17,47,70.34,0,0,55.84,45.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,55.34,0,39.5,0,0,34.5,0,0,16.67,0,43.51,0,48.17,74.5,0,73.5,0,46,54.67,0,0,0,68.67,0,50.67,43.84,0,66.17,0,72.5,81.67,0,0,0,51.67,56.84,0
Desk 93,46.33,72.34,81.34,60.5,0,83.99,55.34,80,40,0,84.12,8.83,33.33,12.83,78.5,0,0,0,0,0,0,58.17,0,0,0,22.17,0,61.83,84.49,81.5,84.3,52,59.62,80.84,84.11,82.34,81.17,57,74,0,72.17,59.67,46.83,63.88,0,0,0,67.17,52,76.33,60.82,58.17,8.67,82.5,75.46,0,83.94,0,0,59.67,52.67,81.5,82,81.34,54.17
desk 136,0.5,0,0,0,0,8.67,0,0,0,0,0,0,0,0,0,0,0.67,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.67,0,0,0
desk 138,0,0,0,0,0,0,58,2,88.34,50.5,0,0,36.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.17,0,0,0,0,0,0,60.84,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0
desk 126,55.01,47.34,57.01,38.17,0,53.67,56.84,48.34,39.5,0,78.68,91.07,85.84,0,0,55.17,0,0,0,0,0,0,0,0,0,0,0,56.84,81.34,0,81.38,0,70.67,0,0,0,81.01,0,46.84,40.34,0,16.67,38,75.17,0,58.67,0,11.57,88.39,53,78.17,64.99,27.17,50.84,68.17,0,81.84,89.72,50,13.17,14.98,25.97,78.8,78.62,61
2.krs Round Desk 3,0,0,0,21.67,0.33,0.67,0,0.67,0,0,0,0,22.17,0,0.33,31.5,0,0,0,0,0.33,3.17,0,0,0,3,0,53.84,0.33,1.33,21.93,0,7.84,5.5,0,0.67,16.5,0,0.66,0.33,0,0,0.5,0.67,0.33,0,0,0,3.67,0,6.17,0,0,0,0,0.67,0.67,0,0.67,0,6.5,0,0.5,0,0.67
DEsk 25,0,0,0,90,79.33,56.28,48.12,39.83,0,0,41,86.99,83.83,62.66,38.5,0,0,0,0,0,0,0,0,0,0,0,0,66,84.59,85.09,88.58,0.5,0,0,65.59,73.67,66.5,83.72,84.83,77.33,76.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New desk1,0,0,63.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.33,59.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Desk 3,0,0,0,0,0,0,82.34,81.01,71.35,0,22.54,0,86.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,86.01,0,0,0,88.5,80.97,70.64,0,0,34,88.17,0,0,0,0,83.4,81.24,0,0,84.11,97.78,0,0,0,0,89.51,23.17,0,0,77.87,87.38,0,0
desk 77,0,3.67,4.67,0,0,0.5,3.5,65.63,38.5,0,0,0.33,50.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.83,25.17,0,0,0,0,20.83,0,0,0,0.33,57.5,0,0,0,50.17,0,0,0,11.33,0,0,0,20.83,0.83,0,35.84,0,20.34,38.5,0,34.67,0,0,0,19.33,2.5,0
Desk 9,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.5,0,6.5,15.67,0,76.83,0.83,5.5,0,0,0,8.17,0,0,6.83,33.17,0.5,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,23.5,0,0,0,0,0,0
Desk 91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Desk 96,34.17,58.5,0,0,0,0,0,66.17,1.5,0,2.33,2.34,32.5,7,63.34,70.5,0,0,0,0,71.34,76.5,74.34,0,78.67,78.84,0,56.67,44.17,80,78.17,77.84,54.17,47.84,23.17,40.83,55.5,29.67,1.83,79.84,82.51,82.17,66,39.83,49.83,0,0,0,37.67,26.83,40,6.33,7.5,18.83,45.34,50.17,35,0,55.83,7.17,76.84,39.33,32.67,80.67,8.67
desk 137,76.95,76.45,73.67,0,59.93,40.5,63.57,0,72.67,12.17,0,0,0,0,0,64.15,65.84,0,0,0,0,0,0,0,0,0,0,75.54,51.7,0,74.84,42.34,71.83,35.5,74.17,54.8,29.83,54.45,33.28,78.84,0,47.75,75,47,82.23,0,0,23.19,65.03,46.18,67.67,0,1.34,48.48,37.83,66.12,0,47.44,76.6,75.84,38.41,12.4,26.56,0,0
desk 131,0,0,0,0,0,0,48.34,4.83,89.47,69.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,0,0,20.67,0,0,0,0,0,0,0,0,6.5,0,0,0,0,0,0,9.5,39.17,15.84,0,0,0,0,0,0,0
desk 156,82.19,80.35,78.67,80.34,50.82,0,0,83.43,79.67,42.5,0,0,0,0,0,0.33,0.33,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.83,0,0,0,0,47.19,77.84,77.67,81.66,68.17,0,71.17,77.43,76.93,50.67,0.67,61.01,67.84,0,0,72.34,78.84,0,8.67,0,4.67,0.33,0,0,0.5,80.84,70.5,66.5,62,64.17
2.krs Desk 8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DEsk 36,0,48.17,50.5,0,0,62,0,0,0,0,75.67,75.83,0,36.17,55.83,0,0,0,0,0,0,0,0,0,0,0,0,18.33,2,0,39.67,51,0,0,0,9,90.56,0,0,0,57,59.33,0,0,87.83,0,84.16,0,0,49.5,0,79.33,0,0,0,36.41,0,0,0,0,64.67,43.67,0,0,0
Desk 67,0,0,84.15,84.82,0,90.5,72,0,0,0,84.19,82.7,83.7,84.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.33,0,0,0,81.67,75.84,0,67,0,83.87,82.17,0,82.21,0,81.23,0.33,80,82.74,0,0,78.43,0,57.16,0,0,0,0,0,0,0,0,71.5,72.16,0
DEsk 26,0,0,0,0,0,0,0,0,0,0,5.67,0,0.33,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,40.83,80.33,62.17,40.5,38.16,0,0,47.83,80,52.67,78.83,79.67,79.83,0,0,0,80.33,81.83,79.83,79.16,0,79.99,78.99,0,79.83,58.99,0,0,80,79.17,79.5,79.33,79,0,78.83,79.17,78.5,0
Desk 49,73,78.01,55.67,61.17,50.84,34.67,72.67,69.17,76.34,0,75,80.17,51,58.13,0,68.17,0,0,0,0,76,80.67,0,0,80.84,0,0,51.84,75.67,0,66,75.17,59.17,46.33,75.51,39.84,83.67,62.34,19,0,77.67,88.34,78.51,24.5,0,0,63.5,68.65,70.5,0,19.67,84.67,53.67,75.67,0,44.34,79.34,44.17,64.17,73.67,0,0,0,0,0
Desk 2,0,81.23,79.39,80.34,0,78.68,80.51,80.66,0,0,76.34,80.11,76.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.5,82.44,0,59.4,0,78,79.88,0,0,0,79.17,80.99,82.15,0,30.95,0,80.44,0,0,80.4,78.17,79.84,0,78.52,0,81.83,0,56.82,0,83.62,77.84,81.27,0,0,0,0,0,0
desk 80,54.17,78.34,78.13,86.13,87.5,47.84,79.5,24.67,81,0,51.17,78.67,0,78.67,76.17,55.5,0,0,0,0,78.67,0,0,0,0,77.34,0,12.33,85.67,78.51,76.34,76.67,24.83,77.17,50.17,76.34,0,51.83,77.5,0,0,78,0,76,80,76.5,52.84,0,53.16,0,0,0.33,0,0,0,0,0,0,66.5,0,0,0,0,0.33,0
Desk 18,0,0,18.67,81.34,0,0,0,80.5,83.26,0,0,84.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.67,0,0,0,82.17,76.17,85.83,0,0,85.16,86.79,0,0,0,33.17,75.67,0,0,86.33,88.66,87.9,0,0,0,88.66,85.04,0,25.67,0,94.19,61.33,0,0,0,79.17,84.83,0,0
desk 85,0,0,75.84,18.17,0,0,79,4.5,0,0.5,0,79.51,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.67,0,0.67,75.67,0,0,0,0,51.83,0,0,0,0,0,0,0,0,0,27.84,10.41,15.17,0,0,0,0,26.5,0,0,0,0,29.33,0,0,7.17,0,2.83,0
desk 147,0,0,0,0,0,0,0.33,0,0,0,0.33,5.33,0,0.5,0.33,0,0,0,0,0,0.67,0,0,0,0,0.67,0,0,0,0,0,0.83,0.33,0,0.33,18.67,0,1.67,0,0,0.33,0,0,2.33,8,0,0,0,0,0,0,3.5,0,2.17,0,0,0,0,0,0,0,0,11.83,0,0
desk 140,0,58,50.83,15.83,0,0,32.17,1.33,0,84.84,0,24.34,41.84,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,72,55,0,0,33.5,74.67,80.34,0,0,10.17,27.5,44.84,0,0,21.17,40.57,45.84,0,0,45.34,18,40.17,20.16,0,26.15,17.67,40.17,0,40,7,47.84,0,0,0,60.67,8.33,0,0
desk 130,0,71.5,0,0,54.84,61.84,0,62.5,0,0.67,0,0,0,83.23,79.39,0,0,0,0,0,0,0,0,0,0,0,0,42.5,0,0,0,53.67,0,0,0,72.3,0,0,64.17,0,0,0,51,0,0,0,0,0,0,27.67,0,0,0,0,60.17,80.17,52.22,8.67,0,66.67,0,0,0,0,0
desk 157,0.33,0.67,1.17,0.5,0,0,0,15.76,5.33,0,0,0,0,0,78.56,78.04,58.67,0,0,0,0,0,0,0,0,0,0,57.98,78.83,82.81,11.5,0,0,0,0,54.1,82.6,82.34,0,0,81.41,82.74,81.9,0,0,83.88,82.38,30.33,0,0,81.18,80.34,0,8.67,0,78.17,81.34,81.32,0,0,0,0,0,0,0
2.krs Desk 3,0,74.33,35.33,17.03,0,0,31.99,61.5,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
desk 102,96.08,77.5,0,82.5,78.5,35,70.84,0.5,78.84,79.67,78.34,79.84,79.34,80.01,0,0,0,0,0,0,80.34,79.5,78.84,0,82.5,86.56,0,76.21,75.54,86.34,73.67,79,77.67,81,85.84,79.84,85.81,85.98,87.47,0,0,16,0,79.17,84.5,88.83,91.07,73,83.4,70,0,75.83,80.33,83,68.5,71.34,44.17,80,80,79.84,0,78.5,83.84,57.17,80
Desk 59,0,57.67,35.83,0,0.33,0,3.83,83.83,54.17,0,0,0.33,1,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.33,50,0,80.83,82.83,29.17,0,0,77.17,90.29,0,0,0,88.32,87.33,0,0,0,20.83,78.66,8.67,0,0,0,49.83,54.83,19.33,0,0,78.17,2.17,0,0,54,81.83,0,0
DEsk 34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.77,0,0,0,0,78.14,38.81,0,59.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
