asset,2024-01-01,2024-01-02,2024-01-03,2024-01-04,2024-01-05,2024-01-08,2024-01-09,2024-01-10,2024-01-11,2024-01-12,2024-01-15,2024-01-16,2024-01-17,2024-01-18,2024-01-19,2024-01-22,2024-01-23,2024-01-24,2024-01-25,2024-01-26,2024-01-29,2024-01-30,2024-01-31,2024-02-01,2024-02-02,2024-02-05,2024-02-06,2024-02-07,2024-02-08,2024-02-09,2024-02-12,2024-02-13,2024-02-14,2024-02-15,2024-02-16,2024-02-19,2024-02-20,2024-02-21,2024-02-22,2024-02-23,2024-02-26,2024-02-27,2024-02-28,2024-02-29
desk 150,0,80.27,71.5,69.84,67.17,75.39,71.67,73.34,74.67,45.16,44.84,79.5,76.99,52.32,71.84,74.84,80.45,75.01,55.1,71.34,71.34,44.5,74.33,33.17,69,71.34,76.33,68.67,0,0,72.34,53.96,68.67,70.17,38.27,50.08,69.34,71.5,57.73,70.34,0,0,0,0
desk 135,0,0,0,0,0,64.84,59.5,41,31.17,75.67,0.5,63.83,0,67.5,42.02,79.84,70,64.34,56.17,58.67,0,49.67,0,60.84,0,0,47.67,85,0,0,0,0,0,0,74.01,45.54,64.5,21,0,63.5,0,0,0,0
desk 121,0,0,0,0,0,0,78.37,71.33,88,0,30.67,9.5,87.74,87.41,12.17,0.33,21,68.17,44.11,0,0,61,57,96.36,87.18,0,31.33,76.17,0.67,0,0.33,0,50.17,0,0.5,81.56,80.83,75.57,79.57,0,1.33,0,41.27,0
Desk 8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
desk 82,0,0,0,38.28,33.5,73.67,18.5,77.17,0,0.5,81,0,73.67,79.35,58,2.17,5.67,78.67,75.17,0,13.17,61.34,51.84,76.67,0,38.16,61.34,79.17,58.84,22,16.34,41.34,0,0.33,0,17.67,1.83,15,46.83,0,0,15.83,0,0
Desk 94,0,13.17,0,0,0,0,0,42.34,27.5,0,0,7.67,79.67,0,79.5,78.5,27.67,0,32,1.33,4.67,8,1.33,67.18,0,15.17,0,15.83,75.67,0,0.5,0,43.17,15.17,0,0,0,38.17,64.37,0,0,0,0,42.5
desk 144,0,63.17,79.83,58.33,83.5,84,87.49,82.5,86.33,80.5,78.33,80.16,81,81.83,92.6,56.83,83.5,85.5,79.33,84,83.5,80,79.33,82.83,82.33,84.17,87.66,78.33,65.33,86.5,81.83,80.16,88.16,79.17,52,82.17,58.5,89.33,70.33,0,84.67,86,83,79.83
desk 134,0,58.33,79.98,60.14,78.47,80.44,79.77,79.34,79.75,77.5,79.54,77.83,79.69,80.19,75.5,77.17,82.48,79.97,79.17,50,77.34,79.92,77,79.5,0,79.67,79.52,78.84,58.83,80.5,80.14,80.3,0,0,80.44,80.08,80.24,76.17,79.89,78.01,79.34,80.51,40.67,80.33
desk 124,0,69,0,78.34,76.34,77.5,55.01,73.67,66.34,72.17,39.83,18.03,80.69,78.02,0,78.98,0,79.34,35.67,65.5,72.67,76.34,78.5,90.56,53.5,12.83,0.5,0,0,10.17,0,0,0,0,10.17,77.84,80.67,67.34,61.17,53.34,67.5,77.33,76.48,81.17
Desk 7,0,0,0,0,0,0,83.17,52.83,80.84,0,0,71.67,85.17,82.34,0,0,81.5,60.83,70.5,0,0,86.17,77.84,0,0,0,34,78.01,0,0,0,80.34,52.17,81.67,0,0,0,0,0,0,0,0,0,0
Desk 55,0,0,75.84,22.04,0,85.33,80.5,83.84,0,4.67,80.34,0,81.17,0,76.33,85.5,68.86,56.5,58.83,58.34,75.17,0,38.33,80,75,62.16,63.17,89,83.51,12.17,80.67,88.17,83,48.17,0,81.17,76.84,49.91,17.84,36.17,55.5,77.84,83.67,15.17
DEsk 5,0,84.5,84.33,0,0,0,83.5,60.67,84.67,0,85,85.67,82.34,0,0,0,60.34,64.67,83.5,0,0,89.5,85.67,86.34,0,0,83.99,79.83,84.99,0,0,80.5,54,81.67,0,0,84.84,84.84,81.67,0,0,0,0,0
desk 83,0,2.5,0,0,0,0.33,0,30.5,77,0,25.5,0,0,87.83,0,0,0,36.76,58.34,0,0,28,0,81.34,0,0,49.17,0,76.17,12.83,0,77.84,0,0,0,0,0,34.33,77.84,0,0,0,0,85.59
Desk 95,0,0,5,0,0,77.33,38.5,76.34,52.67,0,57.67,70.17,85.17,52.34,53.93,36.71,0,56,37.33,75.84,13.17,11.33,0.67,0,0,0,0.33,48.34,49,0,60,0,45,34.67,0,0,0,81.64,29.51,0,5.17,0,5,0
desk 145,0,0,0,0,0,79.83,81.66,71.5,83.66,0,59,85.83,0,0,0,82.16,47.16,0,0,0,69.83,0,0,0,0,81.83,65.83,0,88.96,0,0,0,47.17,0,0,0,0,0,0,0,0,0,0,0
desk 139,0,0,0,0,0,0,0,0,11.17,0,0,11.42,38.17,27,25.41,0,26.33,0.5,0,0,14.83,1.67,0,55.67,0,0,0,75.16,62.67,0,0,0,0,0,0,0,0,31.17,0,0,0,0,0,0
desk 125,0,52,75.5,57.67,0,86.34,79.84,83.84,0,82,0.67,68.33,78.67,2.83,84,84.34,0,82.17,53.17,0,82.51,33.17,54.84,35.34,0,0,82.84,55.66,58.34,20.33,0,78.67,49.5,0,0,60.5,78.34,80.67,0,0,81.17,84.01,88.43,86.17
Desk 74,0,76.01,0,0,0,0,47.33,57.84,0,0,68.67,11.17,3,50.5,1,0,73.17,0.83,14,0,57.84,19.5,0,18.33,0,0,16.69,0,0.5,0,0,0.33,0,0.33,0,67.17,0,8.33,0,3,0,0.33,0,0
DEsk 6,0,0,68.27,0,0,0,0,0,0,0,0,0,0,0,0,0,70.17,61.66,65.84,0,0,79.29,84.45,0,0,0,0,75.17,78.51,0,0,43.5,56.34,78.84,0,0,81.84,82.5,77.84,0,0,0,0,0
Desk 76,0,0,84.33,79.84,0,2.67,53.67,20.9,81.33,59,32.75,64.17,30.34,80.33,0,77.89,0.5,30.83,82.84,76.71,0,21.17,16.5,44.16,73.33,77.83,10.83,31.16,64.84,11.17,0,28.17,74.83,16.83,28.67,33.67,18.67,5.33,17,0,0,0,0,12
Desk 10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.86,22.33,0,0,0,39.98,60.67,48.5,80.79,50.84,64,66.67,80.43,24.17,0,0,0,0,0,0,0,0,81.67,0,0,0,0,0,75.01
desk 84,0,42.83,18.83,71.34,0,75.17,0,49.5,76.83,0,43.67,0,0,42.34,0,70.83,0,52.5,0,2,70.84,62.01,54.84,0,0,51,0,10.17,0,38.5,43,71.67,0,66.5,0,74.51,0.5,76.84,73.67,0,0,0,0,46.7
Desk 93,0,0,0,6.5,0,16.17,7.66,41.66,40.83,1.67,4.34,31,25.5,0,71.33,14,0,42.83,22.67,16,0,14.83,10.33,55.33,0,2,0,11.83,83,0,9.33,1,0,0,0.33,0,0,30.33,0,0,0,0,0,0
desk 136,0,84.34,0,47.17,55.43,49.84,73.67,0,27.5,79.33,0,0,0,0,0,0,58.83,78.17,81.67,0,79.67,0,0,45.33,0,81.34,78.67,0,58.17,77.84,0.5,0,73,0,0,83.4,78,70.84,0,65.34,83.01,48.34,68.84,74.84
desk 138,0,46.34,43.67,75.38,33.5,0,33.01,15.5,43.17,67.5,58,0,60,0.33,51.94,17,6.33,49.58,57.08,0,44.71,81.54,0,6.83,29.5,0.83,77.17,44.84,48.98,25.33,47.83,35.33,34,70.67,10,40.83,29.74,79.57,66.73,21.17,0,0,0,0
desk 126,0,59.67,68.17,76.2,66.51,77.51,72.84,80.5,76.84,74.84,72.51,76.51,82.21,0,52.17,75.99,73.5,77.96,50.28,0,0,47.84,53.21,41,0,0,44.67,42.5,22.17,72,0,0,21,18.5,68.84,15,24.5,80.34,0,72.67,80.01,89.06,71.17,0
2.krs Round Desk 3,0,2.67,1.33,0.83,15.76,13.17,16.5,9,80.01,33.33,82.34,48.34,56.17,0.48,65.84,24.78,83.34,1.26,53.17,66.34,90.57,14.67,78.34,0.5,71,77.17,83.5,0.67,8.83,0.33,70.51,0.83,38.67,0.5,80.84,82.84,57,1,0,0,81.37,0,0.5,80.17
DEsk 25,0,0,70.33,0,0,67.67,0,72.67,85.5,0,0,75.33,55.67,70.33,0,0,67.17,5.67,75.67,0,0,0,0,0,0,0,76.17,74.33,79.33,0,0,71,78,80.33,76.5,1.5,58.86,76.33,0,66.83,0,0,0,61.67
New desk1,0,2.17,0,0,0,0,0,0,0,0,62.83,0,0,0,0,0,0,9.33,0,0,50.84,33.5,3.5,77.17,0,75.83,88.67,43,52.17,0,40.33,30.67,0,75.51,0,0,8,80.51,48.33,0,74.67,0,0,0
Desk 3,0,0,83.04,0,0,0,75.67,59.84,76.67,0,81.95,81.84,80.34,0,0,79.99,79.84,79.17,0,0,0,79.84,84.67,0,0,79.84,71.92,80.59,0,0,0,0,0,0,0,0,0,0,0,0,0,79.55,71.56,0
desk 77,0,52.17,79.17,10.83,0,79.45,82.33,16.5,78.93,34.16,0,0,59.72,45.38,57.83,0,58.51,35.67,76.34,0,0,31.67,54.67,0,42.83,0,33.17,67,6.5,65.84,34.5,67.5,0,0,74.5,21.83,0,81.17,17,74.34,79.34,0,0,0
Desk 9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.26,0,0.5,0,0,0,0.67,0,25.17,17,79.67,57.5,78.67,45.5,0,0,0,9.33,0,0,0,0,46.67,0,0,0,0,0,74.83
Desk 91,0,78.33,0,0,10.5,10.33,43.86,79.17,53.83,0,0,0,49.16,76.4,0,0,41.33,19.83,0,0,0,56.46,79.3,78.83,0,79.15,79.66,0,80.33,77.17,79.02,79.36,0,0,0,0,0,79.39,75.33,64.83,0,52.92,54.93,0
Desk 96,0,49.17,0,0,0,30.11,55.28,29.17,84.34,0,39.16,35.16,45.17,6.17,0,15,45.34,43.67,0.67,20,0,54.84,15.34,23.5,0,80.84,82,76.17,58.34,0.33,65.67,52.33,0,0,0,49.17,30,22.84,50.01,6.83,24,5.17,0,34
desk 137,0,42.03,0,0,0,0,74.32,58.98,38.5,0,0,0,0,34.25,20.58,70.23,62.22,72.5,76.38,65.04,12.52,33.18,70.84,59.33,60.5,0,0,19.79,77.5,0,0,0,0,0,79.91,32.39,53.21,80.21,80.37,0,0,42.67,58.66,72.65
desk 131,0,0,0,8.34,0,11.67,0,0,77.17,1,0,0,33.83,1.33,0,6.33,16.67,44.83,0,0,0,0,0,67.17,80,0,0,78,42,0,0,0.33,78.5,0,0,0.83,45.84,73.82,36.48,0,0,39.62,28.11,0
desk 156,0,0,0.33,80.34,0,0,79.17,80.01,84.19,0,0.83,80,80.33,79.84,1,0,79.84,60.33,48,0,0,79.84,82.17,61.84,0,8.67,83.34,80.34,29.39,0,0,0,83.17,80,0,0,84,83.34,44.83,0,0,82.34,83.02,81.17
2.krs Desk 8,0,0.5,60.17,8.17,2.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,0,0,0,0,0,0,0,50.87,78.53,0,0,0,0,0,0
DEsk 36,0,56.44,87.45,75.33,0,0,0,86.49,35,46.16,0,64,75.33,71.83,37.5,80,85.33,0,0,0,81.12,0,15,83.3,84,0,77.5,0,0,0,0,25.83,0,33.56,0,73.17,78.5,65.33,34.33,54.28,0,61.66,0,60.83
