asset,2024-12-02,2024-12-03,2024-12-04,2024-12-05,2024-12-06,2024-12-09,2024-12-10,2024-12-11,2024-12-12,2024-12-13,2024-12-16,2024-12-17,2024-12-18,2024-12-19,2024-12-20,2024-12-23,2024-12-24,2024-12-25,2024-12-26,2024-12-27,2024-12-30,2024-12-31,2025-01-01,2025-01-02,2025-01-03,2025-01-06,2025-01-07,2025-01-08,2025-01-09,2025-01-10,2025-01-13,2025-01-14,2025-01-15,2025-01-16,2025-01-17,2025-01-20,2025-01-21,2025-01-22,2025-01-23,2025-01-24,2025-01-27,2025-01-28,2025-01-29,2025-01-30,2025-01-31,2025-02-03,2025-02-04,2025-02-05,2025-02-06,2025-02-07,2025-02-10,2025-02-11,2025-02-12,2025-02-13,2025-02-14,2025-02-17,2025-02-18,2025-02-19,2025-02-20,2025-02-21,2025-02-24,2025-02-25,2025-02-26,2025-02-27,2025-02-28
2.krs Round Desk 1,1.67,0,27.67,21.17,0,40,0.67,43.92,31,27.08,0.33,8.89,21.83,57.67,38.17,0,0,0,0,0,0,0,0,6.5,0.5,0,17.17,11.83,21.83,0.33,4,0,0.67,14.58,2,0.33,30.5,57.17,52,4.17,8,64.83,33.83,7.5,0.33,0,44.33,57.83,63.33,0.33,1,1.33,38.5,15.67,0,21,13.83,51.67,52.34,20.5,2.33,0,40.34,0,0
2.krs Round Desk 2,1.83,0,23,21,0,40.17,0.5,43.43,13.5,10.24,0,4.04,21.83,72.17,39.17,0,0,0,0,0,0,0,0,7,0.33,0,16,0,21,0.5,5,0.33,4.5,15.13,0,0,49,57.34,52,5.17,0,53.5,37,19.17,2,0,37.5,26.83,63.67,0,0.67,17.83,41.5,16,0,23.67,12.33,11.17,52.5,21.33,7.17,0,14.83,0,0
desk 153,0,0,84.34,0,0,40.75,75.41,83.4,80.67,65,52.17,71.67,18.84,80.67,66.5,0,0,0,0,0,0,0,0,33.5,0,0,60.18,93.01,91.16,80.67,84.46,89.34,85.11,50,45.67,0,81.84,0,31.67,0,0,0,0,0,0,0,74.62,90.94,28,8.67,0.33,2.84,54.67,55.54,0.67,85,89,65.16,59,60.67,0,42,0,0,0
desk 143,0,87.34,89.34,0,0,83.34,58.84,0,37.5,0,0,61,53.51,27.17,0,0,0,0,0,0,0,0,0,0,0,0,77.84,0,54.67,0,0,67.34,0,75.84,0,84.17,0,85.84,76.17,0,0,79.67,84,53.5,0,77,0,39.66,38.67,0,36,0,69.34,43,0,0.33,52,65,0,0,0,0,0,0,0
desk 123,0,80.97,82.98,82.82,0,69.52,87.03,65.34,88.21,71.55,21.67,8.67,35.75,8.92,10.34,23.96,0,0,0,23,92.68,83.85,0,86.36,23.87,0,32.56,34.91,68.59,24.42,88.44,40.29,38.79,68.8,46.14,97.34,4,0,0,0,0,18.83,71,81.51,0,77.67,0,48.67,70.34,86.96,75,0,45.84,6.5,0,78.84,0,79.67,69,0.5,58.67,72.84,53.84,66.84,0
desk 151,73.17,76.5,46.51,72.84,0,79,77.34,81.5,89.92,69.51,76.5,77.5,75.17,76.17,79.84,59.5,0,0,0,0,64.5,43.5,0,70.34,75,0,77.34,77.67,81,78,72.17,79.84,86.17,62.34,70.5,72.34,76.5,59.34,56.17,67.84,77.84,78.33,80.67,89,74.33,74,76.34,80.83,1.33,0,0,0,0,0,0.67,77.51,54.84,76,84.67,75,76,81.17,80.83,77.84,0
desk 142,0,0,0,0,0,1,0,0,0,0.33,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.5,54.17,63,0,65.17,73.17,67.33,62.67,0,56.83,0.33,0,0,0.33,0,37.83,60.67,57.5,0,47,21.83,23.33,56.16,0,64,32.67,65.33,61.33,0,37.5,7.67,61.83,61.67,2.33,0,0,0,0,0
desk 122,0,68.5,68,79.34,0,0,79.36,48.5,17.17,0,0,79.83,25.33,0,0,0,0,0,0,0,0,0,0,65.77,71.33,0,74.63,67.67,84.83,52.67,63.33,76.65,78.32,71.83,30.33,59.33,34.67,79.17,86.85,0,0,2,71.5,75.04,69,82.06,67.73,78.9,0,0,71.75,79.09,81.17,79.26,67,77.94,71.17,79.12,77.12,62.83,81.17,0,0,0,0
DEsk 88,0,0.33,71,5.33,0,0,0,0,8.33,0,0,0.33,0,0,1.67,0,0,0,0,0,0,0,0,0,0,0,0,43.17,19,0,0,0,0,0,0,52,0,0,14.17,0,0,0,86.7,61.67,14.5,0,0,72.33,3.83,0,0,0,0.5,0,0,0,14.33,0,6,0,0,0,0,41.17,0
desk 150,73.84,70.5,64.33,0,0,74.36,80.85,75.68,76,64.51,77.81,69,72.5,65.84,66.34,0,0,0,0,44.83,63.5,60.67,0,68.84,68.17,0,81,74.34,73.13,76.79,70.34,81.76,82.17,75.41,73,71.84,80.54,62.17,50.69,5.67,66.84,80.66,75.15,48.14,77.67,73.34,73.34,72.5,63.5,67.17,75.06,55.83,67.67,75.54,70.34,53.17,46,66.5,78.82,0,0,0,0,0,0
desk 135,79.67,79.34,55.34,78.67,0,80.17,0,0,98.16,84.01,79.17,80.51,79.67,81,79.17,0,0,0,0,0,80.5,74.67,0,80.17,80.51,0,82.34,82.12,82.79,77.34,80.34,83.01,79.84,81.84,80.5,79.34,80.51,81.67,55,80.34,79.83,75.17,88,83.34,81.17,81.17,80.33,80.5,83.08,83.92,80,82.96,82.97,74.17,79.34,80.17,57.17,80.17,80.17,83.56,80.51,82.77,80.17,80.01,0
desk 121,82.33,93.42,78,0,0,0,0,84.33,86.33,63.83,0,56.17,55.81,0,0,0,0,0,0,0,0,0,0,69.38,0,0,0.33,83.74,72.17,81.59,0,77.17,76.67,85.95,100,58.17,89.97,50.48,56.65,86.65,0,0,73.51,27.83,84.5,78.17,0,0,0.67,74.5,0.33,11.5,9.5,17.58,0,73.67,11.27,73.33,0,0,0,0,59.17,0,0
Desk 8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
desk 82,72.34,50,44.5,0,0,4.5,82.67,80.84,64,45.33,0,52.67,50.84,33.5,0,0,0,0,0,0,84.03,0,0,0.5,0,0,0.33,0,0,0.5,74.84,0,0,0,0,0,43.17,65.34,52.51,0,0,26.67,41.08,71.5,0,0,49.5,12.17,76.34,0,44.51,0,0,0.67,0,52.51,62.84,76.34,20,0,50,0,74.5,77.67,0
Desk 94,54.87,61.7,57.67,0,0,75.99,39.34,0,38,54.66,81.77,4.5,87.59,80.5,68.83,0,0,0,0,0,0,0,0,0,0,0,53.96,44.5,27.67,77.5,78.09,64.75,71.5,0,0,21.17,56.37,66,18.83,58.51,82.99,0.5,85.33,27,37.67,0,84.6,46.1,70.59,0,72.5,82.89,0,82.71,78.67,50.51,85.17,74,1.33,0,79.01,0,2.33,0,0
desk 144,83.17,80.33,68.5,70.5,0,81.83,60,85.17,73,78.5,79.66,82.66,52,86.33,59.17,0,0,0,0,0,83.33,46.17,0,0,0,0,84.17,84.5,83.83,63,84,87.17,83.67,87.5,62.17,84.33,81.67,57.33,85.5,89,87.67,86.5,61,80.83,86.66,87.66,85.66,56.5,84.33,85.33,84.83,86.33,87.33,74.83,81.83,86.67,86.67,82.83,87.83,87.33,87.17,87.67,83,78.5,0
desk 134,0,0,0,1,0,70.84,0,0,0,0,75,0,0,0,0,51.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,66.33,73.5,0,0,62.33,0,0,61.67,0,67.67,0,0,0,0,40,0,0,0,76.84,74.34,79,0,0
desk 124,68,74.84,58.84,0,0,80.51,84.84,84.17,80.17,89.5,0,0,31,90.67,78.06,0,0,0,0,0,0,0,0,77.84,87.34,0,65.17,82.01,80.5,86.58,70.34,80,84.34,74.17,0,0,72.84,74.34,0,0,0,17.67,86.67,81,84.67,71.84,72.34,72.67,72.5,75.84,88.14,69.84,0,51.67,69.34,83.34,83.34,81.17,78.67,0,0,0,97,45.34,0
Desk 7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.33,0,0,0,0.83,0,0,59.17,0,0,0,0
Desk 55,0,36.67,35.67,0,0,0,34.84,70.67,0,37.33,0,23,0,78.67,0,0,0,0,0,0,0,0,0,0,0,0,67.39,64.34,65.67,0,0,96.71,0,0,46.34,0,80.51,5.33,0,0,0,0,57.17,0,0,41.83,15.16,9,0,0,0,6.17,71,0,0,0,18.5,66.17,0,0,0,2.83,0,68.17,0
DEsk 5,0,82.17,81.5,0,0,0,82.33,57.32,92.33,0,0,87.33,94,95.67,0,0,0,0,0,0,0,0,0,0,0,0,80.83,86,85.5,0,0,83.67,0,83.55,0,0,84.33,60.83,85,0,0,85.17,87.5,59.33,0,0,92.33,84.83,93.83,0,0,83.17,82.67,80.83,0,0,86.83,83,84,0,0,0,0,0,0
desk 83,0,0,10.83,0,0,0,0,0,77.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.33,0,0,0,0,0,0.5,0,44,1,1.67,77.21,0,0,0,61.32,0,0,32.33,0,0,0,2.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Desk 95,4.5,2.83,19.17,13.5,0,3.83,6.33,0,23.17,0,41.67,0,59.67,0,0,0,0,0,0,0,0,0,0,0,0,0,80.34,52.17,13.33,70.84,0.92,9.17,10.83,0,0,14.83,18.34,2.01,76,1.33,2.67,12.33,80,49,0,55.5,43.5,0,86.17,83,70.67,44.01,0,3.5,0,30.17,0,0,76.17,63.51,0,0,55.67,10.34,0
desk 145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
desk 139,0,0,80,0,0,0,0.67,6.33,0,0,0,0,75.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.83,71.3,0.5,0,25,41.33,61.49,0.33,0,5.5,91.16,83.02,41.83,73.5,74.5,37.33,84.04,0,0,0,0,0,0,0,0,51,0,0,69.83,85.44,72.83,0,35.5,0,75.5,0,0.33,0,0
desk 125,85.07,88.06,87.51,90.17,0,82.01,66.67,68.17,76.34,0,0,62.44,34.6,51.43,61.09,0,0,0,0,0,0,0,0,89.84,85.84,0,18,8.83,9.17,45.83,77.5,18.34,59.5,79.5,0,37.83,0,0,0,0,0,11.33,76.17,40.92,0,24.55,58.5,69.87,88.03,0,0,39.65,88.31,85.97,75.46,0,0,0.33,75.51,0,0,0,0,53.34,0
Desk 74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DEsk 6,0,82.15,81.48,0,0,0,79.28,10,0,0,0,75.17,83.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.67,82.44,0,0,80.58,74.84,81.74,0,0,83.36,56.68,0,0,0,37.98,45.67,0,0,0,82.61,82.27,0,9.67,0,0,79.57,0,0,0,82.2,0,0,0,0,0,0,0,0
Desk 76,67.67,81.84,22.5,0,0,0,60.41,60.33,31.83,0,0,0,32.71,60.83,0,0,0,0,0,0,0,0,0,0,0,0,20.34,37.34,6,0,0,0,0,33.33,63.5,41.44,0,11.67,46.5,0,0,49.17,25.24,46.33,70.34,10,28,22.67,0,0,32.83,0,13.19,0,55.33,5.17,24.33,66.5,19.67,0,0,0,0,0,0
Desk 10,0,49.5,74.34,0,0,57.34,0,81.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.17,0,81,0,0,0,65.91,47.24,0,0,0.33,71.5,0,0,0,51.51,69.17,0,0,0,0,43.17,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,71.67,56.17,0
desk 84,68.17,0,5.33,0,0,0,39.83,0,60.5,0,63.34,41.17,42.84,53.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Desk 93,0,0,25.83,52,0,33,0,0,27.84,0,0,0,37,54.67,0,0,0,0,0,0,0,0,0,0,0,0,21.33,57.34,93.65,0,87.13,62.67,41.88,0,0,72.67,46,0,45.84,0.33,68.5,60.83,72.33,0,0,0,34.17,24,3.67,54.84,50.67,0,4.67,0,0,76.29,75.5,19,23.67,0,35.67,0,0,0,0
desk 136,0.5,0,0,0,0,78,0,72,80.17,0,77.5,0,74.17,78.17,0,62.84,0,0,0,0,0,0,0,70.34,74.84,0,77.01,0,47.67,0,0,0,0,0,78.5,0,0,75,0,0,0,0,77.5,0,74.17,0,0,0,68.5,0,80.67,0.33,0.67,80.84,77.17,0,26.34,80.84,79,0,75.84,0,78.5,0,0
desk 138,47,31.33,58.34,0,0,42.44,9.67,48.33,33.5,0,37.66,0,31.05,47.17,0,0,0,0,0,0,58.5,0,0,41.95,78.11,0,81.58,62.5,0,75,59.54,52.21,0,79.69,0,41.33,27.83,0,53.17,0,38.84,0,34.78,49.1,53.5,26.41,25,77.9,55.56,0,25.83,40.17,35.67,37.84,0,34.49,8.31,55.67,79.3,0,0,0,0,0,0
desk 126,0,58.34,78.84,3.33,0,90.59,27.51,64.9,79.51,70.17,76.01,29.34,44.67,0,74.01,0,0,0,0,0,0,0,0,0,0,0,60,78.84,90.67,68.71,84.18,30,40.32,63.14,68.13,2.42,0.5,0.33,72.01,64.51,0,4.83,73,75.84,0,17.5,25.17,49.33,91.06,90.01,0,0.5,74.34,81.51,0,1.83,0,89.51,91.73,0,0,0,64.68,69.51,85.51
2.krs Round Desk 3,17.83,16,0.67,0,0,0,44.33,0.33,15.5,0,0,2.33,0,20.5,0,0,0,0,0,0,0,0,0,25.24,0,0,0.33,0,3.67,14.5,0,0.33,0,20,0,0.67,0.33,0,2.84,0,6,0,0,20.33,0,0.5,0,0,0,0.67,0.33,0.5,0,26.84,0,9.67,0.66,0,51.5,0.33,0,0,0.5,0,0
DEsk 25,0,0,0,0,0,0,0,0,0,50.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,65.67,82.5,76.83,74.33,0,48.33,83,81.83,35.05,84.33,70.57,79.4,74.83,48.83,67.17,66.33,89,0,0,73.33,76.33,86,74.83,52.33,83,52.83,61,0,68.33,2.33,93.61,41.06,80.83,0,29,89.91,0
New desk1,0,0,0,0,0,0,0,0,0,0,0,0,10.5,52.67,0,0,0,0,0,0,0,0,0,80,0,0,79.34,0,76.01,0,0,0,93.11,0,30.42,59.17,0,0,75.84,0,77.84,51.67,0,61,55.83,59,78.17,84.67,22.67,87.77,0,0,0,0,75.34,45.67,92.02,0,16.67,88.5,28,0,55.5,70.84,0
Desk 3,0,0,88.84,0,0,0,80,25.33,0,0,0,87.51,84.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.84,83.5,0,0,83.78,84.67,82.96,0,0,86.16,82.34,0,0,0,43.21,56.21,90.38,0,0,89.75,81.26,0,0,0,76.79,59.96,0,0,0,0,0,0,0,0,0,0,0,0
desk 77,0,0,65.91,0,0,79.04,1.33,0.67,30.83,0,0,0,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,58.34,53.5,19,0,0,0,0,76.17,0,52.58,0,0,46.5,0,0,79.17,68.17,2.17,28.83,0,0.67,0,5.17,0,0,0,23.67,0,0,0,0,0,17.5,0,0,0,0,45.67,0
Desk 9,0,0,71.33,0,0,0,5,0,0.67,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0.83,0.5,0,9.33,34.17,0.67,0,0,0,0,0.67,0.33,0,0,0,0,0,0,0.5,0.33,0,0,0,0,0,0,0,0,0,64.12,0.67,0,0,13.15,38.83,0.33,0,0,58.35,0,0,0
Desk 91,0,74.67,53.33,0,0,10.83,0,0,0,0,0,20,27.17,75.83,0,0,0,0,0,0,0,0,0,0,0,0,79.33,62.17,42.16,78.85,25.83,0,0.33,76.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Desk 96,0,0,54.5,0,0,3.83,0,0,20.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.76,86.58,0,0,4.67,0,0,0,0,0,0,46.17,0,0.5,0,0,0,0,0,0,0,4.83,0,41.5,0,0,0,12.5,0,4.17,0,29.5,6.17,0,0,0,0,0
desk 137,0,0,1.5,70.67,0,76.24,62,76.06,74.88,0,51,61,41.67,52.84,69,0,0,0,0,0,0,0,0,0,42.33,0,65.71,28.83,73.7,58.36,67.18,46.17,26.17,75.84,56.65,67.13,69.12,43.28,49.34,51.34,49.58,73.91,65.17,66.67,79.17,69.87,50,39.67,73.19,34,0,72.99,75.48,52.3,59.17,72.61,70.5,34.6,49.93,72.34,43.4,0,48.56,56.55,0
desk 131,70.34,0,81.34,0,0,81.17,0.33,70.5,0,70.84,0,14.17,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.84,40.5,71,50.17,59.84,37.33,0,55.33,0,0.67,0,76.67,86.6,0,54.17,0,67,37.82,0,43.67,0,56,56.84,1.17,0,67,0,46,0,0,0,0,0,0,0
desk 156,82,97.78,85.55,82.67,0,78.84,75.67,82.14,11.96,0.33,80.5,78.5,55.34,0,0,0,0,0,0,0,0,0,0,59.41,0,0,80.34,80,75.18,0,81.34,80.96,71.67,44.84,0,84.23,0.67,83.34,78.03,0,0,24.17,79.34,0,0,84.08,80.17,75.9,0,0,81.68,80.01,80.67,30.84,23.34,81.44,80.01,77,58.84,0,72.34,79.34,72.5,0,0
2.krs Desk 8,0,0,0,0,0,0.5,24.33,0,0,26.5,0.67,27.17,0.33,16.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67,0,0,0.33,0,80.67,68.84,0,0,0,95.89,0,0,0,0,0.67,0,0,0.33,0,0,0,69.84,0.33,0,0,0,0.67,0,0,69.84,0,0,0
DEsk 36,77.83,26,85.91,54.33,0,78,57.5,2.5,59.33,0,0,0,0,20.83,0,0,0,0,0,0,0,0,0,0,0,0,30.83,0,66.5,0,0,0,0,0,0,0,19.83,0,60.67,0.5,0,0,58.83,1.5,1.33,0,52.49,0,77.67,81,0,0,0,0,0,0,52.83,0,81.67,0,0,0,78.5,0,0
Desk 67,75.65,82.99,65,80.83,0,74,77.67,83.86,60.53,0,74.33,79.66,74.66,0,80.83,0,0,0,0,0,0,0,0,76.17,65,0,83.8,70.47,83.83,76.5,77.49,83.49,81,83.67,79.17,76.02,0,0,0.33,0.33,82.72,82.67,84.22,77.16,82.57,0,83.75,74.49,83.26,61.5,0,84.44,83.45,78.12,84.46,77.47,78.5,83.14,82.48,82.65,79.33,74.84,0.67,0.67,0
DEsk 26,0,0,0,0,0,0,0,5.83,11.17,0,0,0,0,0,55.67,0,0,0,0,0,0,0,0,0,0,0,48,1.83,0,0,0,0,0,0,0,0,0,7.67,0,0,0,0,0,0,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Desk 49,79.67,74,0,0,0,69.5,84.67,80,41.67,28.33,82.19,79.5,58.17,72.17,58.84,0,0,0,0,0,75.17,54.67,0,82.84,0,0,41.67,86.46,80.01,0,34.17,86.17,51.83,41.01,0,39.5,86.17,12.84,10.17,55,83.84,0,37.17,50.67,0,88.17,65,11.34,52.67,0,53.17,8.17,61.34,0,65.34,0,5,9,15.67,40.83,0,0,56.46,17.34,0
Desk 2,82.73,61.23,0,0,0,81.35,81.5,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.3,77.34,0,0,81.84,81.5,78.34,0,68.84,79.7,52,0,0,0,72.67,80.34,82.64,0,85.94,0,78.01,79.34,0,0,81.88,80.17,77.01,0,0,80,79.51,78.84,0,0,0,0,0,0
desk 80,0,0,55.5,79.5,0,77.84,80.01,81.73,76,0,77.67,79.17,85.34,77.5,0,78.5,0,0,0,79.84,0,0,0,73.5,0,0,78.5,68.19,43.67,0,78.17,79,0.67,1.67,80.34,57.34,79.17,74.67,0,72,57,0,61.7,78.67,79.67,77.34,79.67,48,79,74.67,79.51,80.17,50.26,0,0,77.84,56,0,0.84,78.5,81,78,80.5,78.17,0
Desk 18,0,79.33,78.17,0,0,0,81.5,76.33,83,0,0,0,79.5,79,0,0,0,0,0,0,0,0,0,0,0,0,0,79.67,80.33,0,0,92,80.33,81.5,0,0,85,25.33,0,0,0,82.5,81.17,0,0,0,80.17,84.33,59,0,0,0,0,0,0,0,80.67,86.83,82.84,0,0,0,83.67,81,0
desk 85,0,0,32.33,0,0,0,0,0,0,0,5.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.5,0,0,0,0,0,0,0,50.67,0,0,0,10.33,0,76.5,21.67,0,1.33,0,0,0.67,0,0,0.33,0,35.5,0,0,0,0,0,0.33,0,0,0,0,0,0
desk 147,0,0,0,0,0,17.33,0,0,0.33,0,0,0.33,0,0,0,0.67,0,0,0,0.33,0,0,0,0,0,0,0,0,0,0.5,11,7.33,0,0,0,0,0.67,1.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67,0,0,0.33,0,0
desk 140,0,0,25.17,81.5,0,0,51.67,49.5,5.67,0,0.33,25.67,31.33,40.17,0,0,0,0,0,0,0,0,0,0,0,0,50,0,72.5,48.67,0,0,0,36.34,79.17,30,67.67,14,0,43.83,0,0,34.83,19.67,0,59.17,60.17,24.83,56.29,0,0,75.17,79.84,42.67,0,11.17,45.67,46.5,76,0,0,0,0,0,0
desk 130,82.31,81.8,81.46,47.33,0,50.67,80.17,74.34,54.5,67.17,0,61,53.5,65.67,0,0,0,0,0,0,0,0,0,65,0,0,70,69.34,82.33,81.34,82.13,0,0,71.1,70.26,74.4,73.72,56.67,85.21,82.87,76.84,69,78,77,0,73.95,72.67,81.93,0,0,71.06,82.88,63.34,75.84,78,67.67,82.16,81.84,82.98,63.34,73.61,67.93,76.76,76.08,0
desk 157,82.24,100,82.9,0,0,26.5,0,19.33,92.03,70.17,0,64,44.84,0,0,0,0,0,0,0,0,0,0,0,0,0,11.83,55.93,40.83,0,65.33,86.67,79.17,75.17,32.17,0,0,0,59,0,0,10.83,80.18,80.83,88,82.99,83.65,76.98,0,0,81.79,82.29,83.45,61.17,84,80.93,85.17,59.26,59.5,0,0.33,0.5,0,0,0
2.krs Desk 3,77.17,79,79.17,0,0,81.17,54.67,78.83,49.83,0,74.83,75.33,0,81.33,0,0,0,0,0,0,0,0,0,0,0,0,69.33,0,52.83,0,0,0,0,0,0,0,76.5,0,45.83,0,77.83,77.17,76,0,0,24.33,85.4,0,0,0,0,19.43,36.83,0,0,0,0,0,79.33,0,0,0,0,40.33,0
