asset,2024-12-02,2024-12-03,2024-12-04,2024-12-05,2024-12-06,2024-12-09,2024-12-10,2024-12-11,2024-12-12,2024-12-13,2024-12-16,2024-12-17,2024-12-18,2024-12-19,2024-12-20,2024-12-23,2024-12-24,2024-12-25,2024-12-26,2024-12-27,2024-12-30,2024-12-31,2025-01-01,2025-01-02,2025-01-03,2025-01-06,2025-01-07,2025-01-08,2025-01-09,2025-01-10,2025-01-13,2025-01-14,2025-01-15,2025-01-16,2025-01-17,2025-01-20,2025-01-21,2025-01-22,2025-01-23,2025-01-24,2025-01-27,2025-01-28,2025-01-29,2025-01-30,2025-01-31,2025-02-03,2025-02-04,2025-02-05,2025-02-06,2025-02-07,2025-02-10,2025-02-11,2025-02-12,2025-02-13,2025-02-14,2025-02-17,2025-02-18,2025-02-19,2025-02-20,2025-02-21,2025-02-24,2025-02-25,2025-02-26,2025-02-27,2025-02-28
2.krs Desk 7,39,0,0,8.67,0,78,35.83,0,0,77.17,46.84,46,58.67,2.5,0,0,0,0,0,0,0,0,0,0,0,0,50.5,0,0,0,0,70.17,0,0,75,0,3.5,0,0,0,39.67,0,0,38.34,21.83,54.84,70.17,0,0,28.34,0,8.68,11.18,47.34,0.33,0,0,0,10,0,0,0,0,0,0
desk 115,0,84.13,0.33,0,0,0,84.4,82.06,67.01,0,0,0,29.67,0,0,0,0,0,0,0,0,0,0,0,0,0,72.67,70.84,0,0,0,0,38,0,0,0,1.17,73.7,0,0,0,71.34,0,0,0,0,28.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.83,61.67,0,0
desk 104,0,0,0,63.17,0,76,81.5,0,78.84,0,0,56.5,56.84,43.5,71.67,0,0,0,0,0,74.34,0,0,2.33,0,0,82.33,85.66,51.15,0,0,0,0,82.67,61.34,0,0,47.23,76.51,93.88,23.67,0,69,0,0,0,0,0,43.83,79.34,0,0,48,47.67,68.67,66.84,65.5,85.34,82.69,0,0,0,0,82.34,0
Desk 48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DEsk 35,74.34,33.83,83.17,75,0,10.67,86.17,82.17,0.5,58.5,50.33,79,80.83,41.67,83.17,0,0,0,0,0,0,0,0,0,0,0,69.5,88.59,61.59,15.83,55.33,78.17,55,85.95,0,83.46,58.17,23,82.5,75.5,0,51.33,46.33,0,64,0,40.83,0,81.85,86.52,37.33,0,0,0,0,0,0,57.67,74,81.56,0,0.5,0,0,0
Desk 63,83.83,0,60.5,0,0,0,0,0,0.83,6.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.33,6.17,61.33,0,0,0,0,0,0,0,56.33,45.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0
desk 109,0,79.5,59,0,0,80.67,45.5,79.5,46.83,0,0,54.17,79.34,0,0,0,0,0,0,0,0,0,0,0,79.17,0,0,81,47.84,0,77.84,0,60,80.17,37.83,81.67,79.84,76.84,73.67,0,0,77.34,75.5,76.34,36,33,81,55.17,69.17,0,0,54.67,12,79.67,0,0,86.17,49.67,81,0,81.17,79.5,38,0,49.84
desk 101,0,36.87,95.36,0,0,0,7.14,74.64,58.67,0,76.26,79.08,0,73.23,49.84,0,0,0,0,0,0,0,0,0,0,0,0,84.67,0,0,0,0,61,72.49,0,0,46.5,72.27,74.6,0,0,83.22,0,52.2,79.84,84.84,82.66,67,80.81,0,0,0,60.01,54.91,0,0,77.71,74.01,49.85,0,0,0,0,4.17,0
Desk 45,0,0,0,0,0,0,63.84,21.5,65.67,0,0,77.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.34,0,0,86.36,0,76.01,0,0,79.96,0,70.17,0,0,80.06,0,60.67,0,0,80.33,79.5,0,0,0,79.76,0,65.84,0,0,79.19,70,0,0,0,79.45,0,77.67,0
desk 110,0,75.67,60.84,24.17,0,0,33,1.33,81.05,0,0,0,75.51,75.01,77,0,0,0,0,0,85.01,0,0,26.84,0,0,80.67,76.37,85,0,77.67,80.17,75.34,79.5,0,11.67,88.67,81.5,0,65.5,71.5,81.01,80.84,79.67,76,58,81.17,80.17,74.5,0,0,79.17,78.84,81.34,0,0,84.84,73.17,81.67,0,1,76.67,45.17,87.67,0
