asset,2025-03-03,2025-03-04,2025-03-05,2025-03-06,2025-03-07,2025-03-10,2025-03-11,2025-03-12,2025-03-13,2025-03-14,2025-03-17,2025-03-18,2025-03-19,2025-03-20,2025-03-21,2025-03-24,2025-03-25,2025-03-26,2025-03-27,2025-03-28,2025-03-31,2025-04-01,2025-04-02,2025-04-03,2025-04-04,2025-04-07,2025-04-08,2025-04-09,2025-04-10,2025-04-11,2025-04-14,2025-04-15,2025-04-16,2025-04-17,2025-04-18,2025-04-21,2025-04-22,2025-04-23,2025-04-24,2025-04-25,2025-04-28,2025-04-29,2025-04-30,2025-05-01,2025-05-02,2025-05-05,2025-05-06,2025-05-07,2025-05-08,2025-05-09,2025-05-12,2025-05-13,2025-05-14,2025-05-15,2025-05-16,2025-05-19,2025-05-20,2025-05-21,2025-05-22,2025-05-23,2025-05-26,2025-05-27,2025-05-28,2025-05-29,2025-05-30
2.krs Desk 7,31,4.67,0,0,0,0,0,0,0,0,0,0,0,0,0,52.84,0,57.34,0,0,0,52.84,57.34,0,0,40,0,40.17,0.5,0,0,0,0,64.83,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,44.33,0,64.67,0,0,0,0,0,38,0,0,0,0
desk 115,12.69,78.86,0,66.67,0,0,64.33,0,0,0,0,76.5,80.17,63,0,0,86.01,83.5,79.67,0,0,0,0,0,0,0,0,0,0,0,0,0,75.5,0,0,0,0,55.17,62.76,0,57.67,37.17,0,0,0,0,86.67,63.48,57.17,0,0,57.59,0,0,0,0,65.01,55.67,74.84,0,0,61.5,92.54,0,0
desk 104,6.11,0,43.34,32.34,53.67,0,62.56,78.51,78.17,0,0,72.17,64.5,0,0,63.17,68.34,0,0,0,0,82.84,67.84,0,64.34,0,57.5,58,82.19,71.17,69.34,0,74.83,0,0,0,0.5,74.34,70.84,0,0,0,70.34,0,0,0,0,82.67,69.84,71.84,71.17,50.34,0,0,0,0,75.84,69.57,12,0,79.84,71.67,0,0,0
Desk 48,0,0,0,0,0,0,0,27.34,0,1.33,22.92,40.17,19.67,0,0,0,12.5,0,30.5,3.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DEsk 35,63.76,84.67,52.83,0,0,61.33,24.5,0,0,38.33,64.83,0,30.67,59.67,32.67,0,0,0,0,0,67,0,64.17,59.17,39.5,0,0,0,0,0,66.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Desk 63,0,0,0,0,0,0,83.17,82.33,78.83,0,43.17,49,84.83,79.67,77.83,80.17,82.5,60.6,80.17,0,53.45,80.33,56.66,82.17,79.33,17.83,0,0,0,78.67,83,48,80,0,0,0,0,62.83,84.21,80.33,82,79.66,0,0,69.67,64.42,76.17,64.76,78.83,83.67,80.5,81.83,72.5,0,0,50.64,44.64,80.33,84.48,80.5,82.83,59,0,0,0
desk 109,86.34,85.5,61.5,86.17,36.32,86.17,74.84,78.84,56.5,0,58,80.5,0,78.5,0,0,0,0,76.34,0,82,0,60.5,0.67,78.67,0,79.34,50.33,0,83,87.5,55.66,56,0,0,0,80.84,79.67,84.17,79.17,0,80.34,0,0,0,0,81.67,80.67,56.67,0,0,64.34,83.51,34,76.67,40.83,82,54,75.34,0,83.67,80.17,43.83,0,0
desk 101,0,0,48.67,53.23,0,0,62.84,88.02,54.17,0,76.97,67.01,79.79,82.11,0,79.74,63.4,0,68.17,0,0,49.17,68.5,59.66,73.51,79.17,50.95,0,79.26,64.5,67.34,72.17,41.5,80.7,0,0,0.33,0,77.64,75.3,0,0,0,0,0,78.55,0,0,82.19,58.18,0,57.84,56,59.17,0,76.59,76.58,3.33,30.56,0,49.86,0,42.01,0,0
Desk 45,0,0,0,69.17,0,0,69.67,0,50,0,0,0,49.84,63.34,0,0,79.34,0,58.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
desk 110,88.85,76.34,81.84,78.67,0,57.84,78.84,87.46,58.83,73.17,75.5,80.34,76.5,80.17,0,82.84,82.67,0,79.84,0,84.17,0.67,1,82.84,0,87.34,81.84,81.67,0,19.17,78.34,84.83,30.33,0,0,0,85.17,86.84,82.5,0,0,83.5,0,0,0,0,88,77.34,80.67,0,0,72.17,81.84,0,0,0,85.5,85.01,78.67,0,0,77.5,55.17,0,42.17
