asset,2024-09-02,2024-09-03,2024-09-04,2024-09-05,2024-09-06,2024-09-09,2024-09-10,2024-09-11,2024-09-12,2024-09-13,2024-09-16,2024-09-17,2024-09-18,2024-09-19,2024-09-20,2024-09-23,2024-09-24,2024-09-25,2024-09-26,2024-09-27,2024-09-30,2024-10-01,2024-10-02,2024-10-03,2024-10-04,2024-10-07,2024-10-08,2024-10-09,2024-10-10,2024-10-11,2024-10-14,2024-10-15,2024-10-16,2024-10-17,2024-10-18,2024-10-21,2024-10-22,2024-10-23,2024-10-24,2024-10-25,2024-10-28,2024-10-29,2024-10-30,2024-10-31,2024-11-01,2024-11-04,2024-11-05,2024-11-06,2024-11-07,2024-11-08,2024-11-11,2024-11-12,2024-11-13,2024-11-14,2024-11-15,2024-11-18,2024-11-19,2024-11-20,2024-11-21,2024-11-22,2024-11-25,2024-11-26,2024-11-27,2024-11-28,2024-11-29
2.krs Desk 7,0,0,0,25.5,0,71.17,52.34,29,0,19.17,0,0,32.32,36.5,0,50.67,20.61,0,3.17,0,75.5,74,0,0,0,7.5,12,0,0,0,0,58.84,0,0,0,0,60,46.17,2,19.4,0,12.87,0,17.67,27.5,0.5,0,0,10.98,1,0,78.34,0.5,0,0.33,45.17,52,2.33,3.17,14.67,16,0,9.33,0,24.67
desk 115,0,63.67,0,74.17,0,0,75.17,74.67,50.84,0,0,0,80.51,0,0,0,0,0,0,0,0,0,0,0,0,0,72.67,0,0,0,0,0,0,0,0,0,71.84,0,80.51,0,62.6,77.67,0,79.01,0,85.01,87.2,77,81.51,0,0,66,54.34,0,0,0,19.67,80.17,0,0,0,69.17,69.67,75.67,0
desk 104,0,79,47.83,78.33,0,74.34,43.84,79,68.5,0,77,0,78.17,32.67,0,0,0,0,83.73,0,46.17,0,84.33,0,75.33,78.67,79.17,80,34.5,81.67,0,0,0,0,0,79.5,81.51,86.17,81.17,79.34,85,79.34,65.67,88.98,84.51,80,77.84,71.84,45.33,86.92,80.84,86.84,77.34,66.04,0,0,81.84,0,79.5,77.67,66.67,70.67,0,25.5,0
Desk 48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.84,0,0,0.67,43.84,0,0,0,7.33,37.34,0,0,0,31.81,62.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DEsk 35,0,0,42.67,58.04,0,87.72,20.17,42,0,0,0,43.67,0,0,58.33,5,35.83,87.5,0,76.5,0,38.83,84.78,0,0,71.67,64.17,92.7,39.17,0.67,76.5,79.5,0,41.83,0,0,82.5,29.5,62.5,0,75.83,0,0,67.5,0,41.83,27.83,0,0,30.67,43,55,0,0,0,42.5,56.33,83.43,57.33,77.33,37.28,78.67,81.5,50.79,0
Desk 63,77.83,59,87.17,63.17,0,0,86.67,94.19,87.33,0,51.5,0,86.5,85.67,61.17,5.17,92.24,35.5,86.33,66,0,0,0,0,0,0,0,0,45.13,30.5,90,58,10.67,29.33,0,93.34,65,65.5,35.33,0,0,92.16,90.54,59,0,0,48.5,53.67,64,0,0,83.17,60.42,3.59,1,26.11,56.61,28.83,0,0,0,62.17,0,85.14,0
desk 109,85.17,82.17,0,0,79.66,0,81.67,16.5,78.34,0,0,56.67,44.5,81.67,0,0,11.17,47.17,0,0,85,0,26.83,45.34,0,0,47.83,0.33,79,58.67,76.67,31,0,15,0,0,48.33,8.33,30.67,63.17,47.22,84.71,0,66.34,0,50.34,48.83,79.67,9.17,0,4.5,79.84,90.67,80.67,0,0,52.83,78.84,0,81.17,55.67,0,80.17,58.84,0
desk 101,0,36.34,59.34,58,0,0,51.01,9.17,88.1,25.5,0,83.17,10.83,0,0,0,55.5,48.67,72.17,0,0,0,15,20.5,0,0,62.51,0,79.68,0,0,0,0,47.67,0,0,77.17,0,87.5,0,86,69.5,0.5,0.67,3.17,83.67,32.34,65.84,68.67,0,0,80.51,67.34,59.17,0,0,3,63.17,0,0,0,77.17,78.17,41.83,0
Desk 45,0,0,48.5,63.51,0,0,0,14,34.34,0,0,0,0.67,29.84,61.34,0,63.5,0,0,0,0,49,44.67,71.84,0,0,74.84,58.01,0,0,0,80.44,0,67.5,0,0,78.01,0,76.34,0,0,80.84,30.33,51,0,0,78.39,0,1.83,0,0,78.16,0.33,0,0,1,78.42,0,0,0,0,79.85,0.33,56.84,0
desk 110,57.84,82,84.34,72.01,0,44.34,80.01,81.17,76.34,0,59.67,80.34,81.17,74.84,0,0,80.5,0,4.33,79.67,0,85.17,67.17,72,79.83,0,82.17,82.67,92.98,88.34,72.5,89,82.17,83.5,78.51,84,77.01,79,81.84,0,88.5,80,75.67,66.34,81.84,75.98,76.17,32.87,73.67,0,0,80.17,72.67,82.67,0,84.84,22.13,77.5,80.01,75.34,85.17,32.83,0,54.31,0
2.krs Round Desk 1,11.33,0,5.5,37.33,22.5,71.07,0,40,24.83,6.83,0,0.5,4,18.5,15.17,0,0,42.34,17.5,0,0,0,40.17,23,0,0,0.33,0.33,17.83,14.67,18.5,5.17,0,21.84,42.5,20.5,68.67,68.17,30.33,0,0,18.33,26.17,39.34,0,0,4.17,70.67,53.84,12.83,0.83,30.5,14.06,19.33,0,0,25.33,14.5,17.67,57.17,8.67,45.34,89.99,34,1.17
2.krs Round Desk 2,0.33,0,0,38.17,33.33,19.83,0,35.17,34.83,0,0,0.5,25.34,17.5,26.33,0,0.5,34.17,17.83,0,0,0,31.84,19,0,0,0,0.33,53.78,0,21.17,0.5,0,21.83,42.84,20.83,72.17,75.34,29.83,0,0,19.5,27.67,39.34,0,0,0,64.17,53.84,0,13,35.17,19.66,18.67,0,3.5,0.5,10.83,17.33,49.5,0,45.34,88.71,34,0.83
